Date,Time,RecordID,Status,Latitude,Longitude,Wind,Pressure,WindNE34,WindSE34,WindSW34,WindNW34,WindNE50,WindSE50,WindSW50,WindNW50,WindNE64,WindSE64,WindSW64,WindNW64,MaxWindRadius
2005-06-28,2235,I,TS,19.9,-95.7,35,1002,,,,,,,,,,,,,
2005-06-29,0000,"",TS,20,-95.8,35,1005,20,30,30,20,0,0,0,0,0,0,0,0,
2005-06-29,1200,L,TS,20.8,-97.3,35,1005,30,30,30,30,0,0,0,0,0,0,0,0,
2005-06-29,1800,"",TD,21.4,-98.1,25,1007,0,0,0,0,0,0,0,0,0,0,0,0,
2005-06-30,0000,"",TD,22,-98.5,25,1008,0,0,0,0,0,0,0,0,0,0,0,0,
2005-07-06,0300,L,HU,29.2,-90.1,65,991,,,,,,,,,,,,,20
2005-07-06,0600,"",TS,29.6,-90,50,994,90,90,40,60,30,30,15,20,0,0,0,0,
2005-07-06,0900,L,TS,30.2,-89.5,45,995,,,,,,,,,,,,,
2005-07-06,1200,"",TS,30.8,-88.9,40,998,0,70,0,0,0,0,0,0,0,0,0,0,
2005-07-08,1800,"",HU,22,-80.6,120,941,140,140,75,120,90,75,30,55,55,35,20,30,
2005-07-08,1845,L,HU,22.1,-80.7,120,941,,,,,,,,,,,,,
2005-07-09,0000,"",HU,22.7,-81.6,100,960,150,150,75,140,90,75,30,55,55,35,20,30,
2005-07-09,0600,"",HU,23.4,-82.5,75,973,175,150,75,140,90,75,30,55,55,35,20,30,
2005-07-10,1800,"",HU,29.9,-86.9,110,942,110,175,90,75,65,60,30,30,20,20,15,20,
2005-07-10,1930,L,HU,30.4,-87.1,105,946,,,,,,,,,,,,,5
2005-07-18,0600,"",HU,20.3,-87.3,115,955,130,125,50,110,100,40,25,50,50,25,15,20,
2005-07-18,1200,"",HU,21.3,-88.9,65,975,120,125,50,90,50,30,25,50,30,0,0,0,
2005-07-24,1800,"",TS,21.4,-96.6,35,1007,75,75,75,75,0,0,0,0,0,0,0,0,
2005-07-25,0000,L,TS,21.8,-97.6,40,1005,75,75,50,75,0,0,0,0,0,0,0,0,
2005-07-25,0600,"",TD,22.3,-98.6,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,
2005-08-23,0000,"",TS,19.7,-95.7,45,1001,20,30,40,40,0,0,0,0,0,0,0,0,
2005-08-23,0330,L,TS,19.7,-96.4,50,998,,,,,,,,,,,,,
2005-08-23,0600,"",TS,19.7,-96.7,35,1002,20,20,20,20,0,0,0,0,0,0,0,0,
2005-08-24,1800,"",TS,25.4,-76.9,40,1003,60,60,0,0,0,0,0,0,0,0,0,0,
2005-08-25,1800,"",TS,26.2,-79.6,60,988,70,70,50,60,25,25,20,20,0,0,0,0,
2005-08-25,2230,L,HU,26,-80.1,70,984,,,,,,,,,,,,,15
2005-08-26,0000,"",HU,25.9,-80.3,70,983,70,70,50,40,20,20,20,20,10,10,10,10,
2005-08-26,1200,"",HU,25.1,-82,75,979,75,75,45,25,60,60,25,20,20,20,10,10,
2005-08-26,1800,"",HU,24.9,-82.6,85,968,75,75,55,35,60,60,35,20,20,20,15,10,
2005-08-29,1110,L,HU,29.3,-89.6,110,920,,,,,,,,,,,,,20
2005-08-29,1200,"",HU,29.5,-89.6,110,923,200,200,150,100,120,120,75,75,90,90,60,60,
2005-08-29,1445,L,HU,30.2,-89.6,105,928,,,,,,,,,,,,,20
2005-09-20,1800,"",HU,23.9,-81.6,85,975,120,100,60,105,60,45,40,45,40,25,20,40,
2005-10-03,0000,"",TD,20.5,-89.8,30,1003,0,0,0,0,0,0,0,0,0,0,0,0,
2005-10-04,1200,L,HU,18.6,-94.9,70,977,90,75,75,75,45,30,30,30,15,15,15,15,
2005-10-21,1800,"",HU,20.3,-86.7,120,926,175,175,120,150,100,100,75,100,75,75,60,75,
2005-10-21,2145,L,HU,20.6,-86.8,130,927,,,,,,,,,,,,,
2005-10-22,0000,"",HU,20.6,-86.8,120,930,175,175,120,150,100,100,75,100,75,75,60,75,
2005-10-22,0330,L,HU,20.8,-86.9,115,933,,,,,,,,,,,,,
2005-10-22,0600,"",HU,20.8,-87,110,935,175,175,120,150,100,100,75,100,75,75,60,75,
2005-10-22,1200,"",HU,21,-87.1,100,947,175,175,120,150,100,100,75,100,75,75,60,75,
2005-10-22,1800,"",HU,21.3,-87.1,85,958,175,175,120,150,100,100,75,100,75,75,50,75,
2005-10-23,0000,"",HU,21.6,-87,85,960,175,175,120,150,100,100,75,90,60,60,50,60,
