city,latitude,longitude,svm_risk_level,kde_risk_level,svm_confidence,kde_risk_score,combined_risk_score,svm_prob_Cat4-5,kde_prob_Cat4-5,svm_prob_Cat5,kde_prob_Cat5,svm_prob_TS,kde_prob_TS,svm_prob_Cat1,kde_prob_Cat1,svm_prob_Cat4,kde_prob_Cat4,svm_prob_TD,kde_prob_TD,svm_prob_Cat2,kde_prob_Cat2,svm_prob_Cat3,kde_prob_Cat3
Veracruz (Mexico),19.173773,-96.134224,Unknown,Very High,0.5900416029304952,1.0,0.7950208014652476,0.028037859198475644,0.0,0.0,0.0,0.23791705292834517,0.4250619134439547,0.06102911856640892,0.11050328326532878,0.0,0.04317858981053316,0.5900416029304952,0.3170320763788894,0.04868506802356714,0.04273537947824949,0.03428929835270748,0.061488757623044496
Tampico (Mexico),22.247049,-97.861992,Unknown,Very High,0.5857607158097808,1.0,0.7928803579048904,0.02820465902049245,0.0,0.0,0.0,0.24102468845416516,0.4250619134439547,0.061487381152162186,0.11050328326532878,0.0,0.04317858981053316,0.5857607158097808,0.3170320763788894,0.04901229558566242,0.04273537947824949,0.03451025997773699,0.061488757623044496
Campeche (Mexico),18.931225,-90.26181,Unknown,Very High,0.5937824922813748,1.0,0.7968912461406874,0.027794417110486126,0.0,0.0,0.0,0.23571582258306253,0.4250619134439547,0.06048228784178679,0.11050328326532878,0.0,0.04317858981053316,0.5937824922813748,0.3170320763788894,0.048243038645349394,0.04273537947824949,0.03398194153794014,0.061488757623044496
Cancún (Mexico),21.097589,-86.85479,Unknown,Very High,0.5549583458942626,1.0,0.7774791729471313,0.029713654553379786,0.0,0.0,0.0,0.2617997004897924,0.4250619134439547,0.06522819652440308,0.11050328326532878,0.0,0.04317858981053316,0.5549583458942626,0.3170320763788894,0.051844840338019456,0.04273537947824949,0.03645526220014246,0.061488757623044496
Mérida (Mexico),20.967779,-89.62426,Unknown,Very High,0.5939840287922361,1.0,0.796992014396118,0.027696610996025342,0.0,0.0,0.0,0.2360444555400455,0.4250619134439547,0.060325257784490056,0.11050328326532878,0.0,0.04317858981053316,0.5939840287922361,0.3170320763788894,0.04808356096598705,0.04273537947824949,0.033866085921216024,0.061488757623044496
Ciudad del Carmen (Mexico),18.649679,-91.822121,Unknown,Very High,0.595631376831953,1.0,0.7978156884159765,0.027697923191276494,0.0,0.0,0.0,0.23450071338113576,0.4250619134439547,0.06024853102268037,0.11050328326532878,0.0,0.04317858981053316,0.595631376831953,0.3170320763788894,0.04806321969525338,0.04273537947824949,0.0338582358777009,0.061488757623044496
Progreso (Mexico),21.28208,-89.663307,Unknown,Very High,0.5941436840597569,1.0,0.7970718420298785,0.027672279944292163,0.0,0.0,0.0,0.23602389005358376,0.4250619134439547,0.06028102083819753,0.11050328326532878,0.0,0.04317858981053316,0.5941436840597569,0.3170320763788894,0.04804245468998285,0.04273537947824949,0.033836670414186795,0.061488757623044496
Coatzacoalcos (Mexico),18.13566,-94.440224,Unknown,Very High,0.5924090533211682,1.0,0.7962045266605842,0.02791757889711487,0.0,0.0,0.0,0.23634509278656987,0.4250619134439547,0.06073414117726562,0.11050328326532878,0.0,0.04317858981053316,0.5924090533211682,0.3170320763788894,0.04845964136204814,0.04273537947824949,0.03413449245583341,0.061488757623044496
Tuxpan (Mexico),20.96134,-97.400887,Unknown,Very High,0.5870570325401449,1.0,0.7935285162700725,0.02816805990595849,0.0,0.0,0.0,0.240011082744483,0.4250619134439547,0.06136913870993052,0.11050328326532878,0.0,0.04317858981053316,0.5870570325401449,0.3170320763788894,0.0489351906760769,0.04273537947824949,0.03445949542340615,0.061488757623044496
Havana (Cuba),23.113592,-82.366592,Unknown,Very High,0.5319980226093507,1.0,0.7659990113046753,0.031066223434394625,0.0,0.0,0.0,0.27605747843272493,0.4250619134439547,0.06837102121362154,0.11050328326532878,0.0,0.04317858981053316,0.5319980226093507,0.3170320763788894,0.054328812181072314,0.04273537947824949,0.03817844212883611,0.061488757623044496
Varadero (Cuba),23.134581,-81.283653,Unknown,Very High,0.5274557847273521,1.0,0.7637278923636761,0.031395633758821324,0.0,0.0,0.0,0.27854701001340687,0.4250619134439547,0.06908787243898776,0.11050328326532878,0.0,0.04317858981053316,0.5274557847273521,0.3170320763788894,0.05492081259423222,0.04273537947824949,0.03859288646719986,0.061488757623044496
Cienfuegos (Cuba),22.144449,-80.440292,Unknown,Very High,0.5255563207385411,1.0,0.7627781603692705,0.031622159032828494,0.0,0.0,0.0,0.2791133772962689,0.4250619134439547,0.06952391765713412,0.11050328326532878,0.0,0.04317858981053316,0.5255563207385411,0.3170320763788894,0.055312779881850196,0.04273537947824949,0.03887144539337713,0.061488757623044496
Belize City (Belize),17.49469,-88.189728,Unknown,Very High,0.5832471054173294,1.0,0.7916235527086647,0.028469735952513665,0.0,0.0,0.0,0.24197321201466443,0.4250619134439547,0.062005016529630586,0.11050328326532878,0.0,0.04317858981053316,0.5832471054173294,0.3170320763788894,0.04947005482312939,0.04273537947824949,0.0348348752627325,0.061488757623044496
George Town (Cayman Islands),19.300249,-81.375999,Unknown,High,0.5323702712527257,0.7915746822116437,0.6619724767321847,0.03135574356673857,0.0,0.0,0.0,0.274161903763853,0.4250619134439547,0.06879780961946752,0.11050328326532878,0.0,0.04317858981053316,0.5323702712527257,0.3170320763788894,0.0547947982823764,0.04273537947824949,0.03851947351483875,0.061488757623044496
Nassau (Bahamas),25.047983,-77.355415,Unknown,Very High,0.5232392255348725,0.8834731946909294,0.703356210112901,0.031998795298868565,0.0,0.0,0.0,0.27926220601907287,0.4250619134439547,0.07021206239437615,0.11050328326532878,0.0,0.04317858981053316,0.5232392255348725,0.3170320763788894,0.05595630088666738,0.04273537947824949,0.039331409866142655,0.061488757623044496
